Place Name,Type,Year Established,Family Owned/Franchise,Cross Lane,Hours,Images,Serial No
Hiral Supermarket,General Store,2003,Family Owned,Fourth Cross,"Mon - Sun
8:30 am - 10:00 pm",shop-1.png,1
Super Fresh,Groceries,2013,Family Owned,Fourth Cross,"Mon - Sun
8:30 am - 10:00 pm",shop-2.png,2
Medi House,Pharmacy,2020,Family Owned,Fourth Cross,"Mon - Sun
Open 24 Hrs",shop-3.png,3
Hangout,Bakery,2000,Franchise,Fourth Cross,"Mon - Sun
7:00 am - 12:00 am",shop-4.png,4
Arome,Dry Fruits,2018,Franchise,Fourth Cross,"Mon - Sun
11:00 am - 9:00 pm",shop-5.png,5
Harsha & Rakesh,Salon,2007,Franchise,Fourth Cross,"Mon - Sun
10:00 am - 9:00 pm",shop-6.png,6
Society Stores,General Store,2014,Franchise,Fourth Cross,"Mon - Sun
9:45 am - 10:00 pm",shop-7.png,7
HP World,Electronics,?,Franchise,Fourth Cross,"Mon - Sun
11:00 am - 10:00 pm",shop-8.png,8
Theobroma,Bakery,?,Franchise,Fourth Cross,"Mon - Sun
9:00 am - 11:00 pm",shop-9.png,9
Harish Plus,Toys & Stationery,,Family Owned,Third Cross,"Mon - Sun
10:00 am - 10:00 pm",shop-10.png,10
Sweet Home,General Store,2001,Family Owned,Third Cross,"Mon - Sun
9:00 am - 10:00 pm",shop-11.png,11
Fantasy Optics,Opticians,1999,Franchise,Third Cross,"Mon - Sun
11:00 am - 10:00 pm",shop-12.png,12
High Point,Restaurant,1987,Family Owned,Third Cross,"Mon - Sun
9:00 am - 11:30 pm",shop-13.png,13
Bhagwan Collection,Tailors,?,Franchise,Third Cross,"Mon - Sun
11:00 am - 9:00 pm",shop-14.png,14
MINISO,Stationery,2019,Franchise,Third Cross,"Mon - Thu
9:30 am - 9:30 pm
Fri - Sun
10:30 am - 10:00 pm",shop-15.png,15
Monsoon Chaat,Confectionary,1989,Family Owned,Second Cross,"Mon - Sun
8:30 am - 12:00 am",shop-16.png,16
Wellness Forever,Pharmacy,2008,Franchise,Second Cross,"Mon - Sun
Open 24 Hrs",shop-17.png,17
Breadkraft,Confectionary & Groceries,?,Family Owned,Second Cross,"Mon - Sun
9:30 am - 11:00 pm",shop-18.png,18
Harish Collection,Toys & Stationery,1992,Family Owned,Second Cross,"Mon - Sun
10:30 am - 10:30 pm",shop-19.png,19
Cover Cafe,Electronics,2020,Family Owned,Second Cross,"Mon - Sun
10:30 am - 10:30 pm",shop-20.png,20
Baskin Robins,Confectionary,2004,Franchise,Second Cross,"Mon - Sun
Open 24 Hrs",shop-21.png,21
Warden Bakery,Confectionary & Groceries,1979,Franchise,Second Cross,"Mon - Sun
9:00 am - 9:00 pm",shop-22.png,22
Naturals Ice Cream,Confectionary,1994,Franchise,Second Cross,"Mon - Sun
9:30 am - 1:00 am",shop-23.png,23
Food Inn,Restaurant,1987,Franchise,First Cross,"Mon - Sun
12:00 pm - 1:30 am",shop-24.png,24
Citibank ATM,Bank,?,Franchise,First Cross,"Mon - Sun
Open 24 Hrs",shop-25.png,25
DCB Bank,Bank,?,Franchise,First Cross,"Mon - Fri
1:30 am - 4:00 pm
Sat - Sun
Closed - Closed",shop-26.png,26
McDonald's,Restaurant,1997,Franchise,First Cross,"Mon - Sun
7:15 am - 12:45 am",shop-27.png,27
Archies Gallery,Gifts & Cards,1998,Franchise,First Cross,"Mon - Sun
10:30 am - 9:30 pm",shop-28.png,28
Airtel Gallery,Mobile Service Provider,?,Franchise,First Cross,"Mon
12:00 am - 11:59 pm
Tue - Sun
Open 24 Hrs",shop-29.png,29
Lemon,Salon,2006,Franchise,First Cross,"Mon - Sun
11:00 am - 9:00 pm",shop-30.png,30
ICICI Bank,Bank,?,Franchise,First Cross,"Mon - Fri
8:00 am - 4:00 pm
Sat
9:00 am - 2:00 pm
Sun
Closed - Closed",shop-31.png,31
7th Heaven,Bakery,2014,Franchise,First Cross,"Mon - Sun
10:00 am - 9:00 pm",shop-32.png,32
Belgian Waffle,Confectionary,2016,Franchise,First Cross,"Mon - Sun
10:00 am - 12:00 am",shop-33.png,33
Eagle Hardware,Hardware Store,2000,Family Owned,Second Cross,"Mon - Sun
9:00 am - 9:00 pm",shop-34.png,34
Starbucks Coffee,Cafe,2017,Franchise,Past Fourth Cross,"Mon - Sun
6:00 am - 1:00 am",shop-35.png,35
Enrich,Salon,?,Franchise,Past Fourth Cross,"Mon - Fri
11:00 am - 9:00 pm
Sat - Sun
10:00 am - 9:00 pm",shop-36.png,36
Kotak Mahindra Bank,Bank,?,Franchise,Past Fourth Cross,"Mon - Fri
9:30 am - 4:30 pm
Sat
9:30 am - 1:30 pm
Sun
Closed - Closed",shop-37.png,37
,,,,,,,
"https://www.google.com/maps/@19.1456302,72.8232567,3a,75y,157.53h,105.38t/data=!3m6!1e1!3m4!1s8DFSZOy8OdRvuziP28n3bQ!2e0!7i13312!8i6656","Data Points
- Year Established
- Family Owned/Franchise
- Cash Only
- Open till 9/10/11/24x7
- Sort by Cross Lane",,,,,,